id,dealId,startTime,endTime,isDeleted,note
1,1,2022-01-01T09:00:00+0900,2022-01-01T17:00:00+0900,0,
2,2,2022-01-02T09:00:00+0900,2022-01-02T17:00:00+0900,0,
3,3,2022-01-03T09:00:00+0900,2022-01-03T17:00:00+0900,0,
4,4,2022-01-04T09:00:00+0900,2022-01-04T17:00:00+0900,0,
5,5,2022-01-05T09:00:00+0900,2022-01-05T17:00:00+0900,0,
6,6,2022-01-06T09:00:00+0900,2022-01-06T17:00:00+0900,0,
7,7,2022-01-07T09:00:00+0900,2022-01-07T17:00:00+0900,0,
8,8,2022-01-08T09:00:00+0900,2022-01-08T17:00:00+0900,0,
9,9,2022-01-09T09:00:00+0900,2022-01-09T17:00:00+0900,0,
10,10,2022-01-10T09:00:00+0900,2022-01-10T17:00:00+0900,0,
11,11,2022-01-11T09:00:00+0900,2022-01-11T17:00:00+0900,0,
12,12,2022-01-12T09:00:00+0900,2022-01-12T17:00:00+0900,0,
13,13,2022-01-13T09:00:00+0900,2022-01-13T17:00:00+0900,0,
14,14,2022-01-14T09:00:00+0900,2022-01-14T17:00:00+0900,0,
15,15,2022-01-15T09:00:00+0900,2022-01-15T17:00:00+0900,0,
16,16,2022-01-16T09:00:00+0900,2022-01-16T17:00:00+0900,0,
17,17,2022-01-17T09:00:00+0900,2022-01-17T17:00:00+0900,0,
18,18,2022-01-18T09:00:00+0900,2022-01-18T17:00:00+0900,0,
19,19,2022-01-19T09:00:00+0900,2022-01-19T17:00:00+0900,0,
20,20,2022-01-20T09:00:00+0900,2022-01-20T17:00:00+0900,0,
21,21,2022-01-21T09:00:00+0900,2022-01-21T17:00:00+0900,0,
22,22,2022-01-22T09:00:00+0900,2022-01-22T17:00:00+0900,0,
23,23,2022-01-23T09:00:00+0900,2022-01-23T17:00:00+0900,0,
24,24,2022-01-24T09:00:00+0900,2022-01-24T17:00:00+0900,0,
25,25,2022-01-25T09:00:00+0900,2022-01-25T17:00:00+0900,0,
26,26,2022-01-26T09:00:00+0900,2022-01-26T17:00:00+0900,0,
27,27,2022-01-27T09:00:00+0900,2022-01-27T17:00:00+0900,0,
28,28,2022-01-28T09:00:00+0900,2022-01-28T17:00:00+0900,0,
29,29,2022-01-29T09:00:00+0900,2022-01-29T17:00:00+0900,0,
30,30,2022-01-30T09:00:00+0900,2022-01-30T17:00:00+0900,0,
31,1,2022-01-31T09:00:00+0900,2022-01-31T17:00:00+0900,0,
32,2,2022-02-01T09:00:00+0900,2022-02-01T17:00:00+0900,0,
33,3,2022-02-02T09:00:00+0900,2022-02-02T17:00:00+0900,0,
34,4,2022-02-03T09:00:00+0900,2022-02-03T17:00:00+0900,0,
35,5,2022-02-04T09:00:00+0900,2022-02-04T17:00:00+0900,0,
36,6,2022-02-05T09:00:00+0900,2022-02-05T17:00:00+0900,0,
37,7,2022-02-06T09:00:00+0900,2022-02-06T17:00:00+0900,0,
38,8,2022-02-07T09:00:00+0900,2022-02-07T17:00:00+0900,0,
39,9,2022-02-08T09:00:00+0900,2022-02-08T17:00:00+0900,0,
40,10,2022-02-09T09:00:00+0900,2022-02-09T17:00:00+0900,0,
41,11,2022-02-10T09:00:00+0900,2022-02-10T17:00:00+0900,0,
42,12,2022-02-11T09:00:00+0900,2022-02-11T17:00:00+0900,0,
43,13,2022-02-12T09:00:00+0900,2022-02-12T17:00:00+0900,0,
44,14,2022-02-13T09:00:00+0900,2022-02-13T17:00:00+0900,0,
45,15,2022-02-14T09:00:00+0900,2022-02-14T17:00:00+0900,0,
46,16,2022-02-15T09:00:00+0900,2022-02-15T17:00:00+0900,0,
47,17,2022-02-16T09:00:00+0900,2022-02-16T17:00:00+0900,0,
48,18,2022-02-17T09:00:00+0900,2022-02-17T17:00:00+0900,0,
49,19,2022-02-18T09:00:00+0900,2022-02-18T17:00:00+0900,0,
50,20,2022-02-19T09:00:00+0900,2022-02-19T17:00:00+0900,0,
51,21,2022-02-20T09:00:00+0900,2022-02-20T17:00:00+0900,0,
52,22,2022-02-21T09:00:00+0900,2022-02-21T17:00:00+0900,0,
53,23,2022-02-22T09:00:00+0900,2022-02-22T17:00:00+0900,0,
54,24,2022-02-23T09:00:00+0900,2022-02-23T17:00:00+0900,0,
55,25,2022-02-24T09:00:00+0900,2022-02-24T17:00:00+0900,0,
56,26,2022-02-25T09:00:00+0900,2022-02-25T17:00:00+0900,0,
57,27,2022-02-26T09:00:00+0900,2022-02-26T17:00:00+0900,0,
58,28,2022-02-27T09:00:00+0900,2022-02-27T17:00:00+0900,0,
59,29,2022-02-28T09:00:00+0900,2022-02-28T17:00:00+0900,0,
60,30,2022-03-01T09:00:00+0900,2022-03-01T17:00:00+0900,0,
61,1,2022-03-02T09:00:00+0900,2022-03-02T17:00:00+0900,0,
62,2,2022-03-03T09:00:00+0900,2022-03-03T17:00:00+0900,0,
63,3,2022-03-04T09:00:00+0900,2022-03-04T17:00:00+0900,0,
64,4,2022-03-05T09:00:00+0900,2022-03-05T17:00:00+0900,0,
65,5,2022-03-06T09:00:00+0900,2022-03-06T17:00:00+0900,0,
66,6,2022-03-07T09:00:00+0900,2022-03-07T17:00:00+0900,0,
67,7,2022-03-08T09:00:00+0900,2022-03-08T17:00:00+0900,0,
68,8,2022-03-09T09:00:00+0900,2022-03-09T17:00:00+0900,0,
69,9,2022-03-10T09:00:00+0900,2022-03-10T17:00:00+0900,0,
70,10,2022-03-11T09:00:00+0900,2022-03-11T17:00:00+0900,0,
71,11,2022-03-12T09:00:00+0900,2022-03-12T17:00:00+0900,0,
72,12,2022-03-13T09:00:00+0900,2022-03-13T17:00:00+0900,0,
73,13,2022-03-14T09:00:00+0900,2022-03-14T17:00:00+0900,0,
74,14,2022-03-15T09:00:00+0900,2022-03-15T17:00:00+0900,0,
75,15,2022-03-16T09:00:00+0900,2022-03-16T17:00:00+0900,0,
76,16,2022-03-17T09:00:00+0900,2022-03-17T17:00:00+0900,0,
77,17,2022-03-18T09:00:00+0900,2022-03-18T17:00:00+0900,0,
78,18,2022-03-19T09:00:00+0900,2022-03-19T17:00:00+0900,0,
